"filename", "language", "JSON", "Dart", "C++", "YAML", "Markdown", "XML", "HTML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\.runtimeconfig.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Yazilim\Flutter\Dodact\dodact_v1\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 3, 16, 79
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\google-services.json", "JSON", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 11, 6, 55
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 9, 0, 19
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 9, 0, 19
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Yazilim\Flutter\Dodact\dodact_v1\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Yazilim\Flutter\Dodact\dodact_v1\arsiv.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\assets\images\app\situations\undraw_blank_canvas_3rbb.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\assets\images\app\situations\undraw_not_found_60pq.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\firebase.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Yazilim\Flutter\Dodact\dodact_v1\flutter_native_splash.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 59, 11, 73
"d:\Yazilim\Flutter\Dodact\dodact_v1\functions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 21, 42, 191
"d:\Yazilim\Flutter\Dodact\dodact_v1\functions\package-lock.json", "JSON", 1813, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1814
