Date : 2021-10-15 22:07:57
Directory : d:\Yazilim\Flutter\Dodact\dodact_v1
Total : 242 files,  24370 codes, 1471 comments, 2278 blanks, all 28119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        205 |     21,331 |      1,317 |      2,070 |     24,718 |
| JSON       |         11 |      2,137 |          0 |          8 |      2,145 |
| JavaScript |          1 |        307 |         29 |         95 |        431 |
| HTML       |          2 |        163 |         23 |         15 |        201 |
| XML        |         11 |        159 |         37 |         11 |        207 |
| YAML       |          2 |        140 |         61 |         39 |        240 |
| Groovy     |          4 |         99 |          3 |         26 |        128 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        242 |     24,370 |      1,471 |      2,278 |     28,119 |
| android                                                                                                               |         14 |        274 |         39 |         38 |        351 |
| android\app                                                                                                           |          9 |        227 |         38 |         26 |        291 |
| android\app\src                                                                                                       |          7 |         89 |         35 |         10 |        134 |
| android\app\src\debug                                                                                                 |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                  |          5 |         81 |         29 |          8 |        118 |
| android\app\src\main\res                                                                                              |          4 |         38 |         18 |          0 |         56 |
| android\app\src\main\res\drawable                                                                                     |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\values                                                                                       |          1 |         10 |          9 |          0 |         19 |
| android\app\src\main\res\values-night                                                                                 |          1 |         10 |          9 |          0 |         19 |
| android\app\src\profile                                                                                               |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| assets\images                                                                                                         |          2 |          2 |          0 |          0 |          2 |
| assets\images\app                                                                                                     |          2 |          2 |          0 |          0 |          2 |
| assets\images\app\situations                                                                                          |          2 |          2 |          0 |          0 |          2 |
| functions                                                                                                             |          4 |      2,228 |         38 |        106 |      2,372 |
| ios                                                                                                                   |          8 |        250 |          2 |          9 |        261 |
| ios\Runner                                                                                                            |          8 |        250 |          2 |          9 |        261 |
| ios\Runner\Assets.xcassets                                                                                            |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                  |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                 |          2 |         68 |          2 |          1 |         71 |
| lib                                                                                                                   |        201 |     21,286 |      1,029 |      2,061 |     24,376 |
| lib\common                                                                                                            |          1 |         81 |          1 |         11 |         93 |
| lib\config                                                                                                            |         10 |        470 |         20 |        111 |        601 |
| lib\config\base                                                                                                       |          2 |         37 |          3 |         14 |         54 |
| lib\config\constants                                                                                                  |          5 |        169 |          8 |         36 |        213 |
| lib\config\navigation                                                                                                 |          3 |        264 |          9 |         61 |        334 |
| lib\model                                                                                                             |         20 |        880 |         31 |        135 |      1,046 |
| lib\provider                                                                                                          |         14 |      1,279 |         35 |        185 |      1,499 |
| lib\repository                                                                                                        |         10 |        652 |         33 |        119 |        804 |
| lib\services                                                                                                          |         26 |      1,336 |        115 |        282 |      1,733 |
| lib\services\abstract                                                                                                 |          3 |         23 |          1 |          5 |         29 |
